57,35,59,1
59,35,51,1
48,32,52,1
47,33,44,1
37,23,41,1
42,25,39,1
36,22,36,1
36,25,40,1
40,22,34,1
33,21,36,1
38,26,42,1
41,26,38,1
37,25,40,1
36,23,39,1
38,24,36,1
34,22,37,1
35,23,38,1
34,21,35,1
33,21,35,1
36,24,40,1
39,25,38,1
33,21,34,1
30,19,33,1
32,21,34,1
32,21,34,1
32,21,36,1
34,21,34,1
34,21,35,1
33,21,33,1
32,20,33,1
31,18,30,1
29,17,29,1
27,17,28,1
26,16,26,1
26,17,28,1
27,18,28,1
27,18,29,1
26,16,25,1
26,17,27,1
27,18,27,1
25,19,29,1
28,19,29,1
26,17,27,1
27,17,34,1
35,22,34,1
32,22,34,1
33,24,33,1
34,25,35,1
32,24,33,1
32,24,33,1
34,26,33,1
31,22,31,1
31,21,31,1
31,24,32,1
34,25,37,1
35,24,34,1
32,22,31,1
31,21,32,1
32,21,34,1
34,22,36,1
35,22,36,1
35,21,35,1
34,20,34,1
33,20,36,1
37,23,40,1
40,26,53,1
48,18,31,1
33,22,35,1
39,22,32,1
32,21,35,1
35,22,37,1
33,18,27,1
25,16,25,1
24,16,27,1
27,21,36,1
39,27,40,1
36,23,36,1
32,20,32,1
32,19,33,1
32,19,34,1
32,20,33,1
32,20,32,1
32,21,33,1
31,20,31,1
28,17,28,1
28,19,32,1
31,19,30,1
31,20,32,1
31,20,33,1
33,23,35,1
32,20,30,1
28,19,27,1
26,18,25,1
26,19,31,1
32,21,31,1
30,21,31,1
29,20,32,1
30,20,32,1
34,22,39,1
43,23,36,1
36,24,37,1
33,21,34,1
30,21,41,1
37,21,32,1
32,19,32,1
30,18,30,1
31,19,29,1
33,22,34,1
30,20,32,1
31,20,31,1
31,21,33,1
33,21,31,1
32,21,32,1
33,22,34,1
34,22,36,1
35,19,34,1
37,24,39,1
37,23,38,1
38,24,39,1
39,24,38,1
40,22,35,1
35,22,35,1
34,21,37,1
37,22,36,1
36,22,36,1
35,21,34,1
35,24,36,1
36,24,36,1
35,24,36,1
34,24,37,1
37,23,36,1
36,24,37,1
32,23,37,1
35,22,35,1
32,21,35,1
31,23,38,1
37,21,35,1
35,22,38,1
40,25,38,1
35,24,38,1
35,21,36,1
37,23,38,1
34,21,36,1
33,20,38,1
40,23,36,1
35,23,41,1
41,24,36,1
34,23,39,1
41,26,50,1
48,29,46,1
42,26,47,1
42,27,42,1
41,29,47,1
42,26,39,1
34,19,35,1
36,22,34,1
34,23,37,1
39,25,45,1
43,26,38,1
34,19,32,1
31,20,27,1
26,20,32,1
34,23,34,1
33,23,36,1
38,26,40,1
37,24,43,1
44,29,47,1
43,26,42,1
40,26,42,1
45,28,44,1
43,27,42,1
39,26,41,1
37,22,38,1
33,21,37,1
36,23,40,1
39,28,46,1
42,30,48,1
46,28,42,1
40,25,43,1
41,25,39,1
37,24,40,1
38,23,39,1
40,24,39,1
38,24,40,1
38,22,42,1
41,22,36,1
38,24,39,1
35,23,40,1
39,26,43,1
37,23,39,1
39,25,37,1
35,23,34,1
34,24,39,1
41,26,38,1
36,24,42,1
45,25,38,1
36,23,36,1
35,23,38,1
36,24,36,1
34,22,35,1
30,21,40,1
41,27,44,1
42,27,43,1
42,26,40,1
38,23,37,1
41,28,45,1
43,26,38,1
37,23,35,1
36,23,36,1
35,22,33,1
31,19,36,1
37,23,35,1
32,20,33,1
33,22,35,1
36,26,43,1
40,26,47,1
51,32,51,1
45,29,43,1
44,28,38,1
35,24,36,1
36,26,39,1
37,24,38,1
36,21,36,1
37,23,36,1
53,81,220,1
42,34,42,2
41,35,41,2
40,38,44,2
42,36,43,2
39,34,37,2
38,36,37,2
34,32,40,2
40,38,41,2
38,36,36,2
35,29,31,2
31,29,34,2
34,29,32,2
30,27,33,2
34,33,31,2
25,24,22,2
20,17,19,2
19,19,22,2
22,22,25,2
25,24,27,2
26,26,28,2
27,26,29,2
28,25,29,2
28,27,36,2
35,31,31,2
32,31,34,2
31,27,30,2
29,26,32,2
32,27,27,2
28,27,31,2
30,27,29,2
28,26,28,2
27,24,27,2
25,21,25,2
25,23,27,2
28,24,27,2
25,22,27,2
27,24,30,2
29,24,31,2
32,29,36,2
36,29,34,2
34,31,34,2
32,30,33,2
31,29,31,2
31,29,33,2
33,30,32,2
31,28,31,2
31,30,33,2
31,29,31,2
30,29,31,2
32,31,34,2
35,34,36,2
35,34,38,2
33,29,34,2
34,30,33,2
32,28,32,2
38,37,38,2
34,31,32,2
31,33,35,2
37,40,39,2
35,34,35,2
34,35,37,2
35,35,38,2
37,34,35,2
34,34,35,2
31,32,35,2
32,29,31,2
29,28,31,2
27,24,30,2
30,27,31,2
30,29,31,2
30,28,30,2
28,28,30,2
30,30,31,2
29,28,32,2
36,33,39,2
34,30,31,2
30,27,29,2
29,27,30,2
35,32,35,2
34,30,32,2
31,30,32,2
31,31,31,2
30,29,32,2
30,29,31,2
31,29,30,2
29,27,31,2
34,33,35,2
34,33,38,2
37,36,40,2
35,31,43,2
43,36,38,2
35,32,34,2
33,30,36,2
35,31,36,2
35,32,34,2
33,32,34,2
29,30,36,2
36,34,36,2
35,29,31,2
30,29,31,2
32,29,33,2
32,29,32,2
31,29,32,2
31,26,32,2
32,29,34,2
33,30,37,2
34,29,35,2
34,31,35,2
34,33,38,2
33,29,37,2
36,32,37,2
35,31,38,2
34,30,36,2
38,37,45,2
41,29,36,2
40,33,35,2
32,29,32,2
32,28,33,2
32,29,31,2
30,28,32,2
31,26,32,2
31,29,34,2
31,27,31,2
33,33,36,2
35,31,32,2
31,28,30,2
30,30,34,2
34,32,35,2
33,29,31,2
